"brand","model","regdate","max","min","count","average","median"
"bmw","c400x","1984","5000000","5000000","1","5000000.0","5000000"
"bmw","c400x","1990","15000000","15000000","14","15000000.0","15000000.0"
"bmw","c400x","1999","45000000","45000000","1","45000000.0","45000000"
"bmw","c400x","2000","1700000","1700000","23","1700000.0","1700000"
"bmw","c400x","2005","39600000","39600000","1","39600000.0","39600000"
"bmw","c400x","2006","123456000","4800000","2","64128000.0","64128000.0"
"bmw","c400x","2007","59000000","59000000","1","59000000.0","59000000"
"bmw","c400x","2009","3200000","3200000","17","3200000.0","3200000"
"bmw","c400x","2010","8000000","1234000","155","4296722.580645162","3700000"
"bmw","c400x","2011","7500000","1200000","2","4350000.0","4350000.0"
"bmw","c400x","2012","4800000","1700000","476","4358403.361344538","4000000.0"
"bmw","c400x","2013","20000000","14000000","90","16266666.666666666","14000000.0"
"bmw","c400x","2014","42000000","17500000","2","29750000.0","29750000.0"
"bmw","c400x","2015","1000000","1000000","5","1000000.0","1000000"
"bmw","c400x","2016","4000000000","4000000","4","1045750000.0","89500000.0"
"bmw","c400x","2017","20000000","20000000","1","20000000.0","20000000"
"bmw","c400x","2018","195000000","15000000","78","99544871.79487179","20500000.0"
"bmw","c400x","2019","686868000","1500000","391","215706823.52941176","219000000"
"bmw","c400x","2020","1000000000","2000000","428","77511682.24299066","8000000.0"
"bmw","c400x","2021","230000000","1500000","137","13000000.0","4000000"
"bmw","c400x (nhập khẩu)","2019","378000000","378000000","1","378000000.0","378000000"
"bmw","c600","1988","33000000","33000000","1","33000000.0","33000000"
"bmw","c600","2003","140000000","140000000","3","140000000.0","140000000.0"
"bmw","c600","2006","9000000.0","9000000.0","2","9000000.0","9000000.0"
"bmw","c600","2007","45000000","45000000","1","45000000.0","45000000"
"bmw","c600","2008","60000000","15000000","2","37500000.0","37500000.0"
"bmw","c600","2009","3680000","3680000","320","3680000.0","3680000.0"
"bmw","c600","2010","3850000","3400000","1280","3550000.0","3475000.0"
"bmw","c600","2011","3560000","3560000","1","3560000.0","3560000"
"bmw","c600","2012","4200000","3500000","1280","3750000.0","3650000.0"
"bmw","c600","2013","1589549","1589549","9","1589549.0","1589549"
"bmw","c600","2014","8000000","8000000","59","8000000.0","8000000"
"bmw","c600","2016","10300000","5000000","41","5129268.292682927","5000000"
"bmw","c600","2018","18000000","18000000","1","18000000.0","18000000"
"bmw","c600","2019","111111000","3200000.0","92","98925989.13043478","111111000.0"
"bmw","c650","1994","49000000","49000000","1","49000000.0","49000000"
"bmw","c650","2003","3250000","2500000","23","2819565.217391304","2800000"
"bmw","c650","2005","7200000","7200000","1","7200000.0","7200000"
"bmw","c650","2008","1100000","1100000","1","1100000.0","1100000"
"bmw","c650","2011","9900000.0","9900000.0","2","9900000.0","9900000.0"
"bmw","c650","2012","2450000","2450000","15","2450000.0","2450000"
"bmw","c650","2014","285000000","3800000","70","155217600.0","268262000.0"
"bmw","c650","2015","230000000","229000000","2","229500000.0","229500000.0"
"bmw","c650","2016","265000000","85000000","60","88000000.0","85000000.0"
"bmw","c650","2017","300000000","8500000","45","173644444.44444445","200000000"
"bmw","c650","2018","250000000","25000000","3","101066666.66666667","28200000"
"bmw","c650","2019","13000000","13000000","3","13000000.0","13000000"
"bmw","c650","2020","25500000","5000000","117","15534188.034188034","25500000"
"bmw","dòng khác","1980","60000000","5500000","2","32750000.0","32750000.0"
"bmw","dòng khác","1982","3650000","3500000","7","3521428.5714285714","3500000"
"bmw","dòng khác","1983","55000000","55000000","2","55000000.0","55000000.0"
"bmw","dòng khác","1985","40000000","40000000","1","40000000.0","40000000"
"bmw","dòng khác","1986","125000000","4000000","12","105416666.66666667","125000000.0"
"bmw","dòng khác","1988","8500000","8500000","1","8500000.0","8500000"
